,0
2007-01-07,0.03499097123004269
2007-01-14,0.0352555095557765
2007-01-21,0.03535382928726838
2007-01-28,0.035451675142019745
2007-02-04,0.035321108925027156
2007-02-11,0.035321108925027156
2007-02-18,0.03522263020288641
2007-02-25,0.03522263020288641
2007-03-04,0.0347229389606214
2007-03-11,0.03499097123004269
2007-03-18,0.03489087356709519
2007-03-25,0.03482386642210078
2007-04-01,0.0347229389606214
2007-04-08,0.03499097123004269
2007-04-15,0.03499097123004269
2007-04-22,0.03475663726177802
2007-04-29,0.03475663726177802
2007-05-06,0.03475663726177802
2007-05-13,0.034553602706353104
2007-05-20,0.03479027968667059
2007-05-27,0.03482386642210078
2007-06-03,0.03499097123004269
2007-06-10,0.034924294345596074
2007-06-17,0.03482386642210078
2007-06-24,0.03485739765393192
2007-07-01,0.03475663726177802
2007-07-08,0.03505742976103665
2007-07-15,0.035090577594341976
2007-07-22,0.034924294345596074
2007-07-29,0.034451318275022125
2007-08-05,0.0342451888397004
2007-08-12,0.03400202607833358
2007-08-19,0.032174720681262814
2007-08-26,0.03262854334808063
2007-09-02,0.032174720681262814
2007-09-09,0.03182754840890967
2007-09-16,0.032059657127380126
2007-09-23,0.03178860342487466
2007-09-30,0.03163206941090846
2007-10-07,0.032059657127380126
2007-10-14,0.03251603789462898
2007-10-21,0.03135518573184015
2007-10-28,0.031275374814683454
2007-11-04,0.030376007109659264
2007-11-11,0.02965254232990655
2007-11-18,0.029302905898813902
2007-11-25,0.028355202216304498
2007-12-02,0.02826257829543266
2007-12-09,0.02816952689729546
2007-12-16,0.028355202216304498
2007-12-23,0.02849334519832092
2007-12-30,0.028630548320055738
2008-01-06,0.027312148074685405
2008-01-13,0.02656869064836509
2008-01-20,0.02542606676726966
2008-01-27,0.023462765920296613
2008-02-03,0.022185459352568992
2008-02-10,0.02167662783115132
2008-02-17,0.02148243422209961
2008-02-24,0.02186895703437397
2008-03-02,0.019786424571111905
2008-03-09,0.018164804369333654
2008-03-16,0.016732483372221107
2008-03-23,0.01639972047941063
2008-03-30,0.018241441763761745
2008-04-06,0.01876982264630156
2008-04-13,0.017933110961255494
2008-04-20,0.02034494335899284
2008-04-27,0.021154534454155938
2008-05-04,0.021154534454155938
2008-05-11,0.020753832096457092
2008-05-18,0.0219326586739641
2008-05-25,0.0220594576319999
2008-06-01,0.022742866590129918
2008-06-08,0.02212255751377823
2008-06-15,0.02515707016078883
2008-06-22,0.024327778767768926
2008-06-29,0.023521607644383824
2008-07-06,0.023225658277397088
2008-07-13,0.023225658277397088
2008-07-20,0.022985714946726077
2008-07-27,0.023521607644383824
2008-08-03,0.02292527796806909
2008-08-10,0.02255878073489792
2008-08-17,0.02212255751377823
2008-08-24,0.02243511112735752
2008-08-31,0.02243511112735752
2008-09-07,0.021805052224814547
2008-09-14,0.02148243422209961
2008-09-21,0.02167662783115132
2008-09-28,0.02006763341956397
2008-10-05,0.01705978297378108
2008-10-12,0.0141836447139152
2008-10-19,0.016483433469853814
2008-10-26,0.018545083282841768
