,VIX,Inflation,GDP Growth,Consumer Confidence,High Yield Spread,10y-2y Yield Spread,M2 Money Stock,Delinquency Rate,Job Openings,S&P 500,SPY XLP,PKW VYM,VVIX
2007-01-07,-0.16392097763712343,0.7527665155569845,0.006384345300807226,-0.057791537667698734,-0.001315789473684159,0.36363636363636354,0.0022082817598738647,0.010050251256281229,-0.013436909510812556,0.014910882460723363,0.004986532978133118,0.017138367580164404,-0.05533989092935454
2007-01-14,-0.16392097763712343,0.7527665155569845,0.006384345300807226,-0.057791537667698734,-0.001315789473684159,0.36363636363636354,0.0022082817598738647,0.010050251256281229,-0.013436909510812556,0.014910882460723363,0.004986532978133118,0.017138367580164404,-0.05533989092935454
2007-01-21,0.02463054279761634,0.7527665155569845,0.006384345300807226,-0.057791537667698734,-0.010540184453227908,0.36363636363636354,0.0022082817598738647,0.010050251256281229,-0.013436909510812556,-0.00016074344697425413,-0.006679109992724586,-0.011296315322348982,-0.03158021169017067
2007-01-28,0.07019235795066381,0.7527665155569845,0.006384345300807226,-0.057791537667698734,-0.0026631158455392434,-0.2666666666666666,0.0022082817598738647,0.010050251256281229,-0.013436909510812556,-0.005816110652962281,-0.00032311580234234416,0.002065402458953036,-0.013698597195797468
2007-02-04,-0.09433963880849494,0.7527665155569845,0.006384345300807226,-0.057791537667698734,0.004005340453938411,-0.2666666666666666,0.0022082817598738647,0.010050251256281229,-0.013436909510812556,0.018429425211744066,0.007070670954339553,-0.0005810717893772743,-0.10963616152935973
2007-02-11,0.10119052236943404,0.7527665155569845,0.006384345300807226,-0.057791537667698734,-0.014627659574467988,0.18181818181818188,0.0022082817598738647,0.010050251256281229,-0.013436909510812556,-0.00713202656067391,0.004486753501883323,0.0010665466730079842,0.026918786340730083
2007-02-18,-0.09729728708018781,0.7527665155569845,0.006384345300807226,-0.057791537667698734,-0.01619433198380571,0.0769230769230771,0.0022082817598738647,0.010050251256281229,-0.013436909510812556,0.012155250654721117,-0.002237267879913407,-0.0015348088003743765,-0.0490657555562074
2007-02-25,0.05588816770048011,0.7527665155569845,0.006384345300807226,-0.057791537667698734,-0.004115226337448541,0.0769230769230771,0.0022082817598738647,0.010050251256281229,-0.013436909510812556,-0.002988648569950625,0.0003951970148461381,0.004780726590996043,-0.0004240709669605103
2007-03-04,0.7589792764225927,0.7018823004555239,0.006384345300807226,-0.03176341730558585,0.024793388429752206,-0.7142857142857143,0.004743659916073728,0.010050251256281229,0.05596935518195356,-0.04411545011047979,-0.01134762319998972,-0.010584184265786223,0.4732003891627854
2007-03-11,-0.2428801885825561,0.7018823004555239,0.006384345300807226,-0.03176341730558585,-0.009408602150537626,0.7500000000000002,0.004743659916073728,0.010050251256281229,0.05596935518195356,0.011296323722816526,0.0024386697180405204,-0.0063212262196599145,-0.1185561936373617
