,Consumer Confidence,Consumer_Confidence,High Yield Spread,High_Yield_Spread,Job Openings,Job_Openings,Recession Probabilities,Recession_Probabilities,VIX,VVIX,const
2007-01-31,,,,,,,,,1.8034838869863579,1.2412304527537392,
2007-02-28,,,,,,,,,1.8034838869863579,1.2412304527537392,
2007-03-31,,,,,,,,,-0.1901166103318359,0.593341007957733,
2007-04-30,,,,,,,,,-0.10782470204156384,-0.9673626861312061,
2007-05-31,,,,,,,,,-0.30924043096553966,-1.0278463618336942,
2007-06-30,,,,,,,,,0.9158545297006823,0.4385374996439315,
2007-07-31,,,,,,,,,1.6881812002261714,2.3562572734082194,
2007-08-31,,,,,,,,,-0.022371995203694803,0.33309238400710806,
2007-09-30,,,,,,,,,-0.8648637631235763,-1.353448531412453,
2007-10-31,,,,,,,,,0.11066592323162293,0.4975565346284189,
2007-11-30,,,,,,,,,0.8802870109748591,-0.33820129467083987,
2007-12-31,,,,,,,,,-0.06080601088563892,-0.5027902169634016,
2008-01-31,,,,,,,,,0.6180580677809956,-0.5672855332968272,
2008-02-29,,,,,,,,,0.0487739346795226,-0.4796046327226608,
2008-03-31,,,,,,,,,-0.13170193078572107,-0.2076379894244954,
2008-04-30,,,,,,,,,-0.707371252659772,-0.291328546489119,
2008-05-31,,,,,,,,,-0.535115255598083,0.9055810582622139,
2008-06-30,,,,,,,,,1.290060639057794,0.5637754520947011,
2008-07-31,,,,,,,,,-0.15849878045080956,-0.5626621521474983,
2008-08-31,,,,,,,,,-0.3751908311471867,-0.4468475384285264,
2008-09-30,,,,,,,,,3.410825628880204,2.37086222706337,
2008-10-31,,,,,,,,,1.9560406290389112,1.7896395762167232,
2008-11-30,,,,,,,,,-0.2893054789753478,-1.629685212525787,
2008-12-31,,,,,,,,,-1.0388797453982845,-0.212310162883149,
2009-01-31,,,,,,,,,0.45477372854521314,1.0238238432491684,
2009-02-28,,,,,,,,,0.126567104119405,-0.5169555975242089,
2009-03-31,,,,,,,,,-0.17920592065911595,-1.3472595194535566,
2009-04-30,,,,,,,,,-0.6505354763430463,-0.11851162407222765,
2009-05-31,,,,,,,,,-0.7805241070981157,1.1681748851318379,
2009-06-30,,,,,,,,,-0.33399869221587436,-0.34310664029186655,
2009-07-31,,,,,,,,,-0.061333552798238655,-0.5144134211152643,
2009-08-31,,,,,,,,,0.013050231976071068,0.3318547736936338,
2009-09-30,,,,,,,,,-0.0578001819389132,-0.5023729604712649,
2009-10-31,,,,,,,,,0.7455282442034571,1.7402013056280756,
2009-11-30,,,,,,,,,-0.7568356569380348,-0.618199545741591,
2009-12-31,,,,,,,,,-0.43396338970876325,-0.5395939052789513,
2010-01-31,,,,,,,,,0.5096806074173429,1.2479578885216953,
2010-02-28,,,,,,,,,-0.7816133221779896,-1.191110534341931,
2010-03-31,,,,,,,,,-0.3681363529323936,0.39825025568503325,
2010-04-30,,,,,,,,,0.9529693014035614,2.061962211907142,
2010-05-31,,,,,,,,,1.7079263815182104,0.5743814923811517,
2010-06-30,,,,,,,,,0.2894730895809483,-0.3014499878354817,
2010-07-31,,,,,,,,,-1.2013145827168779,-0.9915563447470453,
2010-08-31,,,,,,,,,0.4078328202092998,-0.6012218930436272,
