,const,VIX,Consumer Confidence,High Yield Spread,Job Openings,VVIX,Recession Probabilities
2007-01-31,1.0,0.47984644562290035,-0.057791537667698734,-0.02638522427440637,-0.013436909510812556,0.1858178162160966,-0.8
2007-02-28,1.0,0.47984644562290035,-0.057791537667698734,-0.02638522427440637,-0.013436909510812556,0.1858178162160966,-0.8
2007-03-31,1.0,-0.0505836400202313,-0.03176341730558585,0.014905149051490652,0.05596935518195356,0.08882583417572487,0.5
2007-04-30,1.0,-0.028688529128724105,-0.014705882352941346,-0.018691588785046842,-0.05501813784764209,-0.14481857210886617,2.666666666666667
2007-05-31,1.0,-0.08227848483285649,0.013777267508610747,0.0027210884353741083,-0.006824482832160417,-0.15387325209260705,0.0
2007-06-30,1.0,0.24367810766464015,-0.033975084937712396,0.0827679782903663,0.043375563667597206,0.0656510483866366,0.36363636363636354
2007-07-31,1.0,0.4491682761022959,0.05978898007034017,0.11528822055137833,-0.05371475612265897,0.3527423775469325,1.2000000000000002
2007-08-31,1.0,-0.005952435980963511,-0.07743362831858402,0.006741573033707926,-0.011309264897781612,0.04986543736265725,-0.2727272727272728
2007-09-30,1.0,-0.2301111785236778,0.0,-0.0457589285714286,0.023317201935767695,-0.20261737045686368,0.16666666666666674
2007-10-31,1.0,0.029444482591417076,-0.029976019184652314,0.009356725146198785,-0.0034393809114359186,0.07448646502636569,1.5714285714285712
2007-11-30,1.0,0.23421478638776905,-0.05933250927070466,0.08574739281575883,0.002157031924072461,-0.05063026441042395,0.8194444444444446
2007-12-31,1.0,-0.016178435752335574,-0.007884362680683266,0.01707577374599789,-0.021739130434782594,-0.07526997095799803,2.4885496183206106
2008-01-31,1.0,0.1644444783528647,0.03841059602649022,0.05246589716684147,0.017381738173817274,-0.08492521169967937,1.4923413566739607
2008-02-29,1.0,0.012977104682715401,-0.09693877551020413,0.04586241276171488,-0.07461072664359858,-0.0717989840661194,1.0939420544337137
2008-03-31,1.0,-0.03504145716256102,-0.01836158192090387,0.03908484270734025,-0.012619770974526712,-0.03108434672446403,0.36310272536687616
2008-04-30,1.0,-0.18820771495319588,-0.09928057553956837,-0.07614678899082572,-0.04497041420118342,-0.04361320187554074,0.18701937865272233
2008-05-31,1.0,-0.142376183812987,-0.04472843450479236,0.0019860973187686426,0.039405204460966514,0.1355695828116552,0.08059082663902561
2008-06-30,1.0,0.3432417759630211,-0.05685618729096986,0.07333994053518333,-0.0867906533142585,0.08439973665814038,0.060431654676258884
2008-07-31,1.0,-0.04217119819239101,0.08510638297872353,0.05170821791320401,-0.021148825065274157,-0.08423307061758056,0.08095884215287197
2008-08-31,1.0,-0.09982566966934103,0.02941176470588225,0.013169446883230851,-0.02000533475593491,-0.06689509880144773,0.04246861924686196
2008-09-30,1.0,0.9075060589493584,0.1158730158730159,0.2157712305025996,-0.12302667392487754,0.35492880520677317,0.003411599438089441
2008-10-31,1.0,0.5204366671147329,-0.1806543385490753,0.3599429793300071,0.04810676598386099,0.26791714393464816,-0.12180000000000002
2008-11-30,1.0,-0.07697446413980713,-0.03993055555555558,0.14308176100628933,-0.043233639324844586,-0.24397125178436752,0.13618765657025755
2008-12-31,1.0,-0.2764109825743962,0.08679927667269438,-0.10270518110958271,-0.02630764469204583,-0.03178379223608818,0.0020044097013429685
2009-01-31,1.0,0.12100000381469722,0.01830282861896837,-0.07102708226877874,-0.129688493324857,0.15327106285578407,0.0002000400080015563
2009-02-28,1.0,0.033675252372764586,-0.08006535947712423,0.07095709570957087,0.04601899196493786,-0.07739059253623881,-0.0009999999999998899
2009-03-31,1.0,-0.04768067221634498,0.017761989342806483,-0.03800719054956336,-0.11522346368715086,-0.2016908473569945,-0.0006006006006006315
2009-04-30,1.0,-0.17308562517651838,0.1361256544502618,-0.17031500266951416,-0.09431728492501978,-0.01774172647187977,-0.023237179487179516
2009-05-31,1.0,-0.2076712307864672,0.05529953917050712,-0.09781209781209776,0.11067538126361653,0.17488106711538598,-0.07321575061525842
2009-06-30,1.0,-0.08886582600429782,0.03056768558951961,-0.06847360912981448,-0.018046292663789765,-0.051364616850023026,-0.25934941358707675
2009-07-31,1.0,-0.016318796924123524,-0.06779661016949146,-0.10183767228177643,-0.10827007590890936,-0.07701001722268752,-0.9542874215715567
2009-08-31,1.0,0.00347222809888037,-0.004545454545454519,-0.022165387894288124,0.04749103942652333,0.04968016149767496,-0.6601307189542484
2009-09-30,1.0,-0.015378685698207328,0.1187214611872145,-0.10985178727114209,0.06372968349016261,-0.07520750577274671,-0.40384615384615385
2009-10-31,1.0,0.19836000791240593,-0.039455782312925236,-0.025465230166503594,-0.03256936067551264,0.2605160110846587,-0.4516129032258064
2009-11-30,1.0,-0.20136853038883618,-0.045325779036826996,-0.02311557788944707,0.04031587697423111,-0.09254726978429695,-0.4117647058823529
2009-12-31,1.0,-0.11546307210439233,0.07566765578635004,-0.06584362139917699,0.0259688373951259,-0.08077964966135331,-0.20000000000000007
2010-01-31,1.0,0.1356088788133336,0.026206896551724146,-0.01541850220264318,0.10475077881619943,0.1868249437969276,-0.5
2010-02-28,1.0,-0.20796103430973,-0.010752688172043112,0.015659955257270708,-0.06027493831512165,-0.17831463760204525,-0.5
2010-03-31,1.0,-0.09794871012369788,0.0,-0.06607929515418498,0.004876219054763764,0.059619865637938085,-1.0
2010-04-30,1.0,0.2535531009541514,-0.0190217391304347,-0.041273584905660354,0.17693169092945138,0.30868507494853925,-1.0
2010-05-31,1.0,0.45442180519092945,0.01939058171745134,0.1328413284132841,-0.05233111322549955,0.08598750888879736,-1.0
2010-06-30,1.0,0.07701905968841527,0.03260869565217406,-0.020629750271444203,-0.06258366800535475,-0.0451284274517163,-1.0
2010-07-31,1.0,-0.31962943320491777,-0.10789473684210527,-0.0764966740576496,0.100321313816494,-0.14844047229694102,-0.33333333333333326
2010-08-31,1.0,0.10851060583236372,0.016224188790560534,0.010804321728691502,-0.02693056456846199,-0.09000563833961883,-0.7
2010-09-30,1.0,-0.09021107650467108,-0.010159651669085723,-0.07600950118764838,-0.027009003001000287,0.0613572233534565,0.0
2010-10-31,1.0,-0.10548522867177879,-0.007331378299120228,-0.04498714652956304,0.108636052090473,-0.10440512200636232,-0.33333333333333326
2010-11-30,1.0,0.11037736171587964,0.05760709010339715,0.06729475100942128,-0.007418856259659989,0.23586372951717838,-0.5
2010-12-31,1.0,-0.24596434538403822,0.04050279329608952,-0.04161412358133676,-0.04764870756773587,-0.09787947788579465,0.0
2011-01-31,1.0,0.100281728825099,-0.00402684563758382,-0.047368421052631504,0.01504251144538915,-0.003242227620634308,1.0
2011-02-28,1.0,-0.060419880373207446,0.04447439353099725,-0.02071823204419898,0.03930412371134029,-0.049953565988500204,4.5
2011-03-31,1.0,-0.0332425393825907,-0.12903225806451613,0.01128349788434413,0.010849349039057765,0.008926429051481,-1.0
2011-04-30,1.0,-0.1685456487990531,0.03407407407407392,-0.029288702928870314,-0.0006133088009813159,0.017816036633668153,-1.0
