,VIX,Consumer Confidence,High Yield Spread,Job Openings,VVIX,Recession Probabilities,risk free rate
2007-01-07,-0.16392097763712343,-0.057791537667698734,-0.001315789473684159,-0.013436909510812556,-0.05533989092935454,-0.8,0.03499097123004269
2007-01-14,-0.16392097763712343,-0.057791537667698734,-0.001315789473684159,-0.013436909510812556,-0.05533989092935454,-0.8,0.0352555095557765
2007-01-21,0.02463054279761634,-0.057791537667698734,-0.010540184453227908,-0.013436909510812556,-0.03158021169017067,-0.8,0.03535382928726838
2007-01-28,0.07019235795066381,-0.057791537667698734,-0.0026631158455392434,-0.013436909510812556,-0.013698597195797468,-0.8,0.035451675142019745
2007-02-04,-0.09433963880849494,-0.057791537667698734,0.004005340453938411,-0.013436909510812556,-0.10963616152935973,-0.8,0.035321108925027156
2007-02-11,0.10119052236943404,-0.057791537667698734,-0.014627659574467988,-0.013436909510812556,0.026918786340730083,-0.8,0.035321108925027156
2007-02-18,-0.09729728708018781,-0.057791537667698734,-0.01619433198380571,-0.013436909510812556,-0.0490657555562074,-0.8,0.03522263020288641
2007-02-25,0.05588816770048011,-0.057791537667698734,-0.004115226337448541,-0.013436909510812556,-0.0004240709669605103,-0.8,0.03522263020288641
2007-03-04,0.7589792764225927,-0.03176341730558585,0.024793388429752206,0.05596935518195356,0.4732003891627854,0.5,0.0347229389606214
2007-03-11,-0.2428801885825561,-0.03176341730558585,-0.009408602150537626,0.05596935518195356,-0.1185561936373617,0.5,0.03499097123004269
2007-03-18,0.19162531821857698,-0.03176341730558585,0.009497964721845387,0.05596935518195356,0.11892831850620067,0.5,0.03489087356709519
2007-03-25,-0.22870761744336687,-0.03176341730558585,-0.005376344086021501,0.05596935518195356,-0.06200112176013417,0.5,0.03482386642210078
2007-04-01,0.13050197366400718,-0.014705882352941346,0.012162162162162149,-0.05501813784764209,0.035384413567797646,2.666666666666667,0.0347229389606214
2007-04-08,-0.09631152787025188,-0.014705882352941346,0.001335113484646211,-0.05501813784764209,-0.06193626358770865,2.666666666666667,0.03499097123004269
2007-04-15,-0.07785334607782501,-0.014705882352941346,-0.002666666666666595,-0.05501813784764209,-0.0522435840744212,2.666666666666667,0.03499097123004269
2007-04-22,-0.010655747251913206,-0.014705882352941346,-0.018716577540107027,-0.05501813784764209,-0.10742868760738111,2.666666666666667,0.03475663726177802
2007-04-29,0.03148302601895403,-0.014705882352941346,-0.004087193460490468,-0.05501813784764209,0.01869163110923666,2.666666666666667,0.03475663726177802
2007-05-06,0.036947794794715216,0.013777267508610747,0.002735978112175186,-0.006824482832160417,-0.044135941313632965,2.666666666666667,0.03475663726177802
2007-05-13,0.0030983704357707698,0.013777267508610747,-0.004092769440654842,-0.006824482832160417,0.03073933584288624,2.666666666666667,0.034553602706353104
2007-05-20,-0.014671782485074947,0.013777267508610747,0.00136986301369868,-0.006824482832160417,-0.050836804498184174,2.666666666666667,0.03479027968667059
2007-05-27,0.045454538660057775,0.013777267508610747,0.00136986301369868,-0.006824482832160417,-0.03990457542161685,2.666666666666667,0.03482386642210078
2007-06-03,-0.04197904147010534,-0.033975084937712396,0.009575923392612928,0.043375563667597206,-0.030792540512591615,0.36363636363636354,0.03499097123004269
2007-06-10,0.16118939457424974,-0.033975084937712396,0.031165311653116534,0.043375563667597206,0.007123521621436035,0.36363636363636354,0.034924294345596074
2007-06-17,-0.060646938204218404,-0.033975084937712396,0.005256241787122251,0.043375563667597206,-0.09421422311634153,0.36363636363636354,0.03482386642210078
2007-06-24,0.12984221478483926,-0.033975084937712396,0.015686274509803866,0.043375563667597206,0.2236451658258405,0.36363636363636354,0.03485739765393192
2007-07-01,0.030476161411830294,0.05978898007034017,0.027027027027027195,-0.05371475612265897,-0.017996120742498345,1.2000000000000002,0.03475663726177802
