,VIX,Consumer_Confidence,High_Yield_Spread,Job_Openings,VVIX,Recession_Probabilities
2007-01-31,1.8034838869863579,-1.033532780247165,-0.3082157742142621,-0.2395409836165825,1.2412304527537392,-0.006707489125673604
2007-02-28,1.8034838869863579,-1.033532780247165,-0.3082157742142621,-0.2395409836165825,1.2412304527537392,-0.006707489125673604
2007-03-31,-0.1901166103318359,-0.5680508656259864,0.17411267787252963,0.9977706839420608,0.593341007957733,0.004192180703546002
2007-04-30,-0.10782470204156384,-0.2629971806878974,-0.2183435110788895,-0.9808132477316911,-0.9673626861312061,0.02235829708557868
2007-05-31,-0.30924043096553966,0.24639001083963386,0.031786062157062145,-0.12166066378393962,-1.0278463618336942,0.0
2007-06-30,0.9158545297006823,-0.6076039055530071,0.9668440276878577,0.7732600400039172,0.4385374996439315,0.0030488586934880007
2007-07-31,1.6881812002261714,1.0692546572398833,1.346725265075547,-0.9575777455368524,2.3562572734082194,0.010061233688510406
2007-08-31,-0.022371995203694803,-1.384808163799089,0.0787508618610379,-0.20161127344164695,0.33309238400710806,-0.0022866440201160017
2007-09-30,-0.8648637631235763,0.0,-0.5345273343209169,0.4156778374064167,-1.353448531412453,0.001397393567848668
2007-10-31,0.11066592323162293,-0.5360853802990658,0.10929944180323238,-0.06131415009489312,0.4975565346284189,0.013175425068287432
2007-11-30,0.8802870109748591,-1.0610912209706902,1.0016476945090576,0.03845360038846024,-0.33820129467083987,0.0068705183752559495
2007-12-31,-0.06080601088563892,-0.14100243064475726,0.19946856508380847,-0.3875454160889192,-0.5027902169634016,0.020864899379480866
2008-01-31,0.6180580677809956,0.6869277355185824,0.6128739686631951,0.3098657958343508,-0.5672855332968272,0.012512329277104479
2008-02-29,0.0487739346795226,-1.733634476779386,0.5357361722483989,-1.3300920746823417,-0.4796046327226608,0.00917200554278897
2008-03-31,-0.13170193078572107,-0.32837501091539195,0.456564815587741,-0.22497378209041186,-0.2076379894244954,0.0030443844773759632
2008-04-30,-0.707371252659772,-1.7755147795505044,-0.8894994137117461,-0.8016915826312793,-0.291328546489119,0.0015680380607542115
2008-05-31,-0.535115255598083,-0.7999147476513596,0.02320035321295065,0.7024800925091338,0.9055810582622139,0.0006757026166378886
2008-06-30,1.290060639057794,-1.0168051534287814,0.8567115563541309,-1.5472247131599595,0.5637754520947011,0.000506680833234336
2008-07-31,-0.15849878045080956,1.522026237172497,0.6040232310178655,-0.3770219896468183,-0.5626621521474983,0.0006787881917093931
2008-08-31,-0.3751908311471867,0.5259943613757868,0.15383728502265764,-0.3566368859713982,-0.4468475384285264,0.0003560722522258741
2008-09-30,3.410825628880204,2.0722508014836634,2.5205052710896085,-2.193207482667614,2.37086222706337,2.8604082665173876e-05
2008-10-31,1.9560406290389112,-3.2307875567861375,4.204629943388354,0.8576036054357534,1.7896395762167232,-0.0010212152193838063
2008-11-30,-0.2893054789753478,-0.7141104003400469,1.6713921127163007,-0.7707299420945176,-1.629685212525787,0.0011418465318699673
2008-12-31,-1.0388797453982845,1.5523016234453653,-1.1997380269460773,-0.46898872699092425,-0.212310162883149,1.6805695343940795e-05
2009-01-31,0.45477372854521314,0.32732427812736237,-0.8296941850475993,-2.3119683309462307,1.0238238432491684,1.6772077229626244e-06
2009-02-28,0.126567104119405,-1.431873539300759,0.8288766456055803,0.8203846718960462,-0.5169555975242089,-8.38436140709108e-06
2009-03-31,-0.17920592065911595,0.31765201219852407,-0.4439763535497261,-2.0540989581807954,-1.3472595194535566,-5.035652496752213e-06
2009-04-30,-0.6505354763430463,2.4344451071005095,-1.9895138984665484,-1.6814026458096223,-0.11851162407222765,-0.0001948289109019779
2009-05-31,-0.7805241070981157,0.9889663568724543,-1.1425800721322508,1.9730198873999711,1.1681748851318379,-0.0006138673138498453
2009-06-30,-0.33399869221587436,0.5466666288534391,-0.7998661005001202,-0.32171286796553766,-0.34310664029186655,-0.002174479214231429
